poi_id,destination_id,poi_name,category,wikivoyage_name,wikivoyage_type,matched_by
POI0269,PAR,Square René-Viviani,nature,Shakespeare and Co.,buy,koordinat
POI0272,PAR,Musée Bourdelle,museum,Musée Bourdelle,see,qid
POI0273,PAR,Le Bœuf sur le toit,food,Villa Spicy,eat,koordinat
POI0274,PAR,Hôtel de Crillon,landmark,Hermes flagship store,buy,koordinat
POI0275,PAR,Stade Charléty,culture,Stade Charléty,see,qid
POI0276,PAR,Georges-Brassens Park,nature,Parc Georges-Brassens,see,qid
POI0279,PAR,Nation,landmark,Les Archives Nationales,see,isim
POI0281,PAR,Cimetière de Grenelle,history,Galerie Michèle Broutta,see,koordinat
POI0282,PAR,Parc Clichy-Batignolles,nature,Parc Clichy Batignolles Martin Luther King,see,qid
POI0283,PAR,Eugène-Delacroix National Museum,museum,Musée Delacroix,see,koordinat
POI0285,PAR,Le Cinq,food,Diep,eat,koordinat
POI0289,PAR,Fondation Cartier pour l'art contemporain,museum,Cartier Foundation for Contemporary Art,see,qid
POI0295,PAR,Lasserre,food,Hanawa,eat,koordinat
POI0297,PAR,Palais de la Découverte,museum,Palais de la decouverte,see,qid
POI0298,PAR,Temple du Marais,religion,Opéra BD,buy,koordinat
POI0301,PAR,Musée Cognacq-Jay,museum,Musée Cognacq-Jay,see,qid
POI0304,PAR,L'Ambroisie,food,L'Ambroisie,eat,qid
POI0306,PAR,Dalí Paris,museum,Espace Dali,see,qid
POI0318,PAR,pont Saint-Michel,landmark,Magasin Variantes,buy,koordinat
POI0319,PAR,Salle Le Peletier,culture,Passages des Princes,buy,koordinat
POI0320,PAR,Musée Cernuschi,museum,Musée Cernuschi,see,qid
POI0321,PAR,Place des Émeutes-de-Stonewall,history,O Corcovado Marais,eat,koordinat
POI0322,PAR,Palais Royal - Musée du Louvre,landmark,Café Marly,eat,koordinat
POI0323,PAR,Église Saint-Médard,religion,Eglise Saint-Médard,see,qid
POI0325,PAR,Villa La Roche,museum,Villa La Roche,see,qid
POI0327,PAR,Abbesses,landmark,Abbesses métro station,see,koordinat
POI0328,PAR,jardin Atlantique,nature,Jardin atlantique,see,qid
POI0329,PAR,Notre-Dame-de-l'Assomption,religion,Pizza Nelly.,eat,koordinat
POI0331,PAR,Musée de la Vie romantique,museum,Colorful basketball court,see,koordinat
POI0332,PAR,Palais de la Cité,landmark,La Conciergerie,see,koordinat
POI0333,PAR,Vélodrome d'Hiver,culture,Maison de la culture du Japon,do,koordinat
POI0334,PAR,Le Bateau-Lavoir,landmark,Au Marché de la Butte,buy,koordinat
POI0336,PAR,Le Rocher de Cancale,food,Rue Montorgueil pedestrian area,buy,koordinat
POI0339,PAR,Saint-Louis en l'Île,religion,Glacier Berthillon,eat,koordinat
POI0340,PAR,Mémorial de la Shoah,museum,Mémorial de la Shoah,see,koordinat
POI0345,PAR,St. Stephen's Greek Orthodox Cathedral,religion,Musée Yves Saint Laurent,see,koordinat
POI0346,PAR,Paris Sewer Museum,museum,Musée des Égouts de Paris,see,qid
POI0347,PAR,Balajo,nightlife,Les Petits Crus,eat,koordinat
POI0348,PAR,Brasserie Julien,food,Julien,eat,koordinat
POI0353,PAR,Palais du Trocadéro,landmark,Café de l'Homme,drink,koordinat
POI0354,PAR,Musée Curie,museum,Musée Curie,see,qid
POI0355,PAR,Pont Mirabeau,landmark,Pont Mirabeau,see,qid
POI0357,PAR,Église Saint-Leu-Saint-Gilles de Paris,religion,La Tour Jean-sans-Peur,see,koordinat
POI0359,PAR,La Mère Catherine,food,Le Passe-Muraille,see,koordinat
POI0361,PAR,Port-Royal Abbey,religion,Port-Royal Abbey,see,qid
POI0372,PAR,Cité internationale universitaire de Paris,landmark,Cité Internationale Universitaire de Paris,see,qid
POI0373,PAR,Saint-Joseph-des-Carmes,religion,Pâtisserie Sadaharu Aoki,buy,koordinat
POI0379,PAR,Le Trumilou,food,Caféothèque de Paris,drink,koordinat
POI0381,PAR,Bocamexa,food,Pozetto,eat,koordinat
POI0384,PAR,La Perla,food,La Perla,eat,koordinat
POI0385,PAR,Pizzou,food,Mariage Frères,buy,koordinat
POI0387,PAR,Le perchoir Marais,nightlife,Le Perchoir,drink,isim
POI0389,PAR,Café Cox,nightlife,Queen Ann,drink,koordinat
POI0390,PAR,Le Lizard,nightlife,Le Colimaçon,eat,koordinat
POI0391,PAR,Stolly's,nightlife,Maison Européene de la Photographie,do,koordinat
POI0393,PAR,Tiki playa,nightlife,Café Oz,drink,koordinat
POI0394,PAR,Le Dernier Bar avant la Fin du Monde,nightlife,La Robe et le Palais,eat,koordinat
POI0397,PAR,The Auld Alliance,nightlife,Le Loir dans la Théière,eat,koordinat
